2017-07-26 23:50:39 INFO  TC001_VerifyLoginWithInvalidCredential:39 - ==========Starting the test verifyLoginInvalidCredential 
2017-07-26 23:50:41 INFO  homePage:43 - clicked on sign in and the object is [[FirefoxDriver: firefox on ANY (678e053a-5949-4253-b34b-c3bfd10fd6fb)] -> xpath: //*[@id='header']/div[2]/div/div/nav/div[1]/a]
2017-07-26 23:50:41 INFO  homePage:45 - entered email address :-test@gmail.comand the object is [[FirefoxDriver: firefox on ANY (678e053a-5949-4253-b34b-c3bfd10fd6fb)] -> xpath: //*[@id='email']]
2017-07-26 23:50:42 INFO  homePage:47 - entered password :-Pass123 and the object is [[FirefoxDriver: firefox on ANY (678e053a-5949-4253-b34b-c3bfd10fd6fb)] -> xpath: //*[@id='passwd']]
2017-07-26 23:50:43 INFO  homePage:49 - clicked on submit button and the object is [[FirefoxDriver: firefox on ANY (678e053a-5949-4253-b34b-c3bfd10fd6fb)] -> xpath: //*[@id='SubmitLogin']]
2017-07-26 23:50:43 INFO  homePage:57 - error message is :-[[FirefoxDriver: firefox on ANY (678e053a-5949-4253-b34b-c3bfd10fd6fb)] -> xpath: //*[@id='center_column']/div[1]/ol/li]
2017-07-26 23:50:43 INFO  TC001_VerifyLoginWithInvalidCredential:47 - ==========Ending the test verifyLoginInvalidCredential 
2017-07-27 15:36:33 INFO  TC001_VerifyLoginWithInvalidCredential:40 - ==========Starting the test verifyLoginInvalidCredential 
2017-07-27 15:36:35 INFO  homePage:43 - clicked on sign in and the object is [[FirefoxDriver: firefox on ANY (5768d305-e86d-4ac9-98bc-89cb5368b560)] -> xpath: //*[@id='header']/div[2]/div/div/nav/div[1]/a]
2017-07-27 15:36:35 INFO  homePage:45 - entered email address :-test@gmail.comand the object is [[FirefoxDriver: firefox on ANY (5768d305-e86d-4ac9-98bc-89cb5368b560)] -> xpath: //*[@id='email']]
2017-07-27 15:36:36 INFO  homePage:47 - entered password :-Pass123 and the object is [[FirefoxDriver: firefox on ANY (5768d305-e86d-4ac9-98bc-89cb5368b560)] -> xpath: //*[@id='passwd']]
2017-07-27 15:36:37 INFO  homePage:49 - clicked on submit button and the object is [[FirefoxDriver: firefox on ANY (5768d305-e86d-4ac9-98bc-89cb5368b560)] -> xpath: //*[@id='SubmitLogin']]
2017-07-27 15:36:37 INFO  homePage:57 - error message is :-[[FirefoxDriver: firefox on ANY (5768d305-e86d-4ac9-98bc-89cb5368b560)] -> xpath: //*[@id='center_column']/div[1]/ol/li]
2017-07-27 15:36:37 INFO  TC001_VerifyLoginWithInvalidCredential:49 - ==========Ending the test verifyLoginInvalidCredential 
2017-07-27 15:37:16 INFO  TC001_VerifyLoginWithInvalidCredential:40 - ==========Starting the test verifyLoginInvalidCredential 
2017-07-27 15:40:52 INFO  TC001_VerifyLoginWithInvalidCredential:40 - ==========Starting the test verifyLoginInvalidCredential 
2017-07-27 15:41:22 INFO  TC001_VerifyLoginWithInvalidCredential:40 - ==========Starting the test verifyLoginInvalidCredential 
2017-07-27 15:43:02 INFO  TC001_VerifyLoginWithInvalidCredential:40 - ==========Starting the test verifyLoginInvalidCredential 
2017-07-27 15:43:04 INFO  homePage:43 - clicked on sign in and the object is [[FirefoxDriver: firefox on ANY (d1e63861-441c-40ec-9d1c-a58482a47dbc)] -> xpath: //*[@id='header']/div[2]/div/div/nav/div[1]/a]
2017-07-27 15:43:04 INFO  homePage:45 - entered email address :-test@gmail.comand the object is [[FirefoxDriver: firefox on ANY (d1e63861-441c-40ec-9d1c-a58482a47dbc)] -> xpath: //*[@id='email']]
2017-07-27 15:43:05 INFO  homePage:47 - entered password :-Pass123 and the object is [[FirefoxDriver: firefox on ANY (d1e63861-441c-40ec-9d1c-a58482a47dbc)] -> xpath: //*[@id='passwd']]
2017-07-27 15:43:06 INFO  homePage:49 - clicked on submit button and the object is [[FirefoxDriver: firefox on ANY (d1e63861-441c-40ec-9d1c-a58482a47dbc)] -> xpath: //*[@id='SubmitLogin']]
2017-07-27 15:43:06 INFO  homePage:57 - error message is :-[[FirefoxDriver: firefox on ANY (d1e63861-441c-40ec-9d1c-a58482a47dbc)] -> xpath: //*[@id='center_column']/div[1]/ol/li]
2017-07-27 15:43:06 INFO  TC001_VerifyLoginWithInvalidCredential:49 - ==========Ending the test verifyLoginInvalidCredential 
2017-07-27 15:46:46 INFO  TC001_VerifyLoginWithInvalidCredential:40 - ==========Starting the test verifyLoginInvalidCredential 
2017-07-27 16:06:35 INFO  TC001_VerifyLoginWithInvalidCredential:40 - ==========Starting the test verifyLoginInvalidCredential 
2017-07-27 16:10:22 INFO  TC001_VerifyLoginWithInvalidCredential:40 - ==========Starting the test verifyLoginInvalidCredential 
2017-07-27 16:10:23 INFO  homePage:43 - clicked on sign in and the object is [[FirefoxDriver: firefox on ANY (285b6cd8-78d2-4caa-9ad3-3ff0bb7d44ea)] -> xpath: //*[@id='header']/div[2]/div/div/nav/div[1]/a]
2017-07-27 16:10:23 INFO  homePage:45 - entered email address :-test@gmail.comand the object is [[FirefoxDriver: firefox on ANY (285b6cd8-78d2-4caa-9ad3-3ff0bb7d44ea)] -> xpath: //*[@id='email']]
2017-07-27 16:10:24 INFO  homePage:47 - entered password :-Pass123 and the object is [[FirefoxDriver: firefox on ANY (285b6cd8-78d2-4caa-9ad3-3ff0bb7d44ea)] -> xpath: //*[@id='passwd']]
2017-07-27 16:10:25 INFO  homePage:49 - clicked on submit button and the object is [[FirefoxDriver: firefox on ANY (285b6cd8-78d2-4caa-9ad3-3ff0bb7d44ea)] -> xpath: //*[@id='SubmitLogin']]
2017-07-27 16:10:25 INFO  homePage:57 - error message is :-[[FirefoxDriver: firefox on ANY (285b6cd8-78d2-4caa-9ad3-3ff0bb7d44ea)] -> xpath: //*[@id='center_column']/div[1]/ol/li]
2017-07-27 16:10:25 INFO  TC001_VerifyLoginWithInvalidCredential:49 - ==========Ending the test verifyLoginInvalidCredential 
2017-07-27 16:12:17 INFO  TC001_VerifyLoginWithInvalidCredential:32 - ==========Starting the test verifyLoginInvalidCredential 
